ID,CODI_ESTACIO,CODI_VARIABLE,DATA_LECTURA,DATA_EXTREM,VALOR_LECTURA,CODI_ESTAT,CODI_BASE
XV030101251730,XV,3,2025-01-01 17:30:00,2025-01-01 17:59:00,87.0,,SH
XV300101251730,XV,30,2025-01-01 17:30:00,,0.3,,SH
XV310101251730,XV,31,2025-01-01 17:30:00,,283.0,,SH
XV320101251730,XV,32,2025-01-01 17:30:00,,7.3,,SH
XV330101251730,XV,33,2025-01-01 17:30:00,,85.0,,SH
XV350101251730,XV,35,2025-01-01 17:30:00,,0.0,,SH
XV360101251730,XV,36,2025-01-01 17:30:00,,-3.0,,SH
XV400101251730,XV,40,2025-01-01 17:30:00,2025-01-01 17:30:00,7.7,,SH
XV420101251730,XV,42,2025-01-01 17:30:00,2025-01-01 17:59:00,6.6,,SH
XV440101251730,XV,44,2025-01-01 17:30:00,2025-01-01 17:30:00,84.0,,SH
XV500101251730,XV,50,2025-01-01 17:30:00,2025-01-01 17:36:00,1.0,,SH
XV510101251730,XV,51,2025-01-01 17:30:00,,258.0,,SH
XV720101251730,XV,72,2025-01-01 17:30:00,2025-01-01 17:30:00,0.0,,SH
XV030101251800,XV,3,2025-01-01 18:00:00,2025-01-01 18:25:00,88.0,,SH
XV300101251800,XV,30,2025-01-01 18:00:00,,1.1,,SH
XV310101251800,XV,31,2025-01-01 18:00:00,,304.0,,SH
XV320101251800,XV,32,2025-01-01 18:00:00,,6.4,,SH
XV330101251800,XV,33,2025-01-01 18:00:00,,87.0,,SH
XV350101251800,XV,35,2025-01-01 18:00:00,,0.0,,SH
XV360101251800,XV,36,2025-01-01 18:00:00,,-3.0,,SH
XV400101251800,XV,40,2025-01-01 18:00:00,2025-01-01 18:14:00,6.8,,SH
XV420101251800,XV,42,2025-01-01 18:00:00,2025-01-01 18:22:00,6.1,,SH
XV440101251800,XV,44,2025-01-01 18:00:00,2025-01-01 18:15:00,85.0,,SH
XV500101251800,XV,50,2025-01-01 18:00:00,2025-01-01 18:24:00,1.8,,SH
XV510101251800,XV,51,2025-01-01 18:00:00,,301.0,,SH
XV720101251800,XV,72,2025-01-01 18:00:00,2025-01-01 18:00:00,0.0,,SH
XV030101251830,XV,3,2025-01-01 18:30:00,2025-01-01 18:58:00,90.0,,SH
XV300101251830,XV,30,2025-01-01 18:30:00,,0.2,,SH
XV310101251830,XV,31,2025-01-01 18:30:00,,299.0,,SH
XV320101251830,XV,32,2025-01-01 18:30:00,,6.3,,SH
XV330101251830,XV,33,2025-01-01 18:30:00,,88.0,,SH
XV350101251830,XV,35,2025-01-01 18:30:00,,0.0,,SH
XV360101251830,XV,36,2025-01-01 18:30:00,,-3.0,,SH
XV400101251830,XV,40,2025-01-01 18:30:00,2025-01-01 18:30:00,6.6,,SH
XV420101251830,XV,42,2025-01-01 18:30:00,2025-01-01 18:59:00,5.8,,SH
XV440101251830,XV,44,2025-01-01 18:30:00,2025-01-01 18:30:00,86.0,,SH
XV500101251830,XV,50,2025-01-01 18:30:00,2025-01-01 18:31:00,1.4,,SH
XV510101251830,XV,51,2025-01-01 18:30:00,,305.0,,SH
XV720101251830,XV,72,2025-01-01 18:30:00,2025-01-01 18:30:00,0.0,,SH
XV030101251900,XV,3,2025-01-01 19:00:00,2025-01-01 19:22:00,92.0,,SH
XV300101251900,XV,30,2025-01-01 19:00:00,,0.5,,SH
XV310101251900,XV,31,2025-01-01 19:00:00,,272.0,,SH
XV320101251900,XV,32,2025-01-01 19:00:00,,5.5,,SH
XV330101251900,XV,33,2025-01-01 19:00:00,,91.0,,SH
XV350101251900,XV,35,2025-01-01 19:00:00,,0.0,,SH
XV360101251900,XV,36,2025-01-01 19:00:00,,-2.0,,SH
XV400101251900,XV,40,2025-01-01 19:00:00,2025-01-01 19:00:00,5.8,,SH
XV420101251900,XV,42,2025-01-01 19:00:00,2025-01-01 19:20:00,5.3,,SH
XV440101251900,XV,44,2025-01-01 19:00:00,2025-01-01 19:28:00,89.0,,SH
XV500101251900,XV,50,2025-01-01 19:00:00,2025-01-01 19:20:00,1.3,,SH
XV510101251900,XV,51,2025-01-01 19:00:00,,267.0,,SH
XV720101251900,XV,72,2025-01-01 19:00:00,2025-01-01 19:00:00,0.0,,SH
XV030101251930,XV,3,2025-01-01 19:30:00,2025-01-01 19:59:00,92.0,,SH
XV300101251930,XV,30,2025-01-01 19:30:00,,0.7,,SH
XV310101251930,XV,31,2025-01-01 19:30:00,,265.0,,SH
XV320101251930,XV,32,2025-01-01 19:30:00,,5.5,,SH
XV330101251930,XV,33,2025-01-01 19:30:00,,90.0,,SH
XV350101251930,XV,35,2025-01-01 19:30:00,,0.0,,SH
XV360101251930,XV,36,2025-01-01 19:30:00,,-2.0,,SH
XV400101251930,XV,40,2025-01-01 19:30:00,2025-01-01 19:36:00,5.9,,SH
XV420101251930,XV,42,2025-01-01 19:30:00,2025-01-01 19:52:00,5.2,,SH
XV440101251930,XV,44,2025-01-01 19:30:00,2025-01-01 19:39:00,89.0,,SH
XV500101251930,XV,50,2025-01-01 19:30:00,2025-01-01 19:31:00,1.5,,SH
XV510101251930,XV,51,2025-01-01 19:30:00,,269.0,,SH
XV720101251930,XV,72,2025-01-01 19:30:00,2025-01-01 19:30:00,0.0,,SH
XV030101252000,XV,3,2025-01-01 20:00:00,2025-01-01 20:16:00,92.0,,SH
XV300101252000,XV,30,2025-01-01 20:00:00,,0.9,,SH
XV310101252000,XV,31,2025-01-01 20:00:00,,248.0,,SH
XV320101252000,XV,32,2025-01-01 20:00:00,,5.4,,SH
XV330101252000,XV,33,2025-01-01 20:00:00,,91.0,,SH
XV350101252000,XV,35,2025-01-01 20:00:00,,0.0,,SH
XV360101252000,XV,36,2025-01-01 20:00:00,,-2.0,,SH
XV400101252000,XV,40,2025-01-01 20:00:00,2025-01-01 20:25:00,5.6,,SH
XV420101252000,XV,42,2025-01-01 20:00:00,2025-01-01 20:11:00,5.2,,SH
XV440101252000,XV,44,2025-01-01 20:00:00,2025-01-01 20:27:00,89.0,,SH
XV500101252000,XV,50,2025-01-01 20:00:00,2025-01-01 20:20:00,2.4,,SH
XV510101252000,XV,51,2025-01-01 20:00:00,,243.0,,SH
XV720101252000,XV,72,2025-01-01 20:00:00,2025-01-01 20:00:00,0.0,,SH
XV030101252030,XV,3,2025-01-01 20:30:00,2025-01-01 20:42:00,90.0,,SH
XV300101252030,XV,30,2025-01-01 20:30:00,,1.1,,SH
XV310101252030,XV,31,2025-01-01 20:30:00,,260.0,,SH
XV320101252030,XV,32,2025-01-01 20:30:00,,5.1,,SH
XV330101252030,XV,33,2025-01-01 20:30:00,,90.0,,SH
XV350101252030,XV,35,2025-01-01 20:30:00,,0.0,,SH
XV360101252030,XV,36,2025-01-01 20:30:00,,-2.0,,SH
XV400101252030,XV,40,2025-01-01 20:30:00,2025-01-01 20:30:00,5.4,,SH
XV420101252030,XV,42,2025-01-01 20:30:00,2025-01-01 20:52:00,5.0,,SH
XV440101252030,XV,44,2025-01-01 20:30:00,2025-01-01 20:59:00,89.0,,SH
XV500101252030,XV,50,2025-01-01 20:30:00,2025-01-01 20:45:00,2.8,,SH
XV510101252030,XV,51,2025-01-01 20:30:00,,260.0,,SH
XV720101252030,XV,72,2025-01-01 20:30:00,2025-01-01 20:30:00,0.0,,SH
XV030101252100,XV,3,2025-01-01 21:00:00,2025-01-01 21:29:00,90.0,,SH
XV300101252100,XV,30,2025-01-01 21:00:00,,0.9,,SH
XV310101252100,XV,31,2025-01-01 21:00:00,,238.0,,SH
XV320101252100,XV,32,2025-01-01 21:00:00,,4.9,,SH
XV330101252100,XV,33,2025-01-01 21:00:00,,89.0,,SH
XV350101252100,XV,35,2025-01-01 21:00:00,,0.0,,SH
XV360101252100,XV,36,2025-01-01 21:00:00,,-2.0,,SH
XV400101252100,XV,40,2025-01-01 21:00:00,2025-01-01 21:00:00,5.1,,SH
XV420101252100,XV,42,2025-01-01 21:00:00,2025-01-01 21:29:00,4.6,,
